standard,mcs,bw,mode,mean_db,std_db,max_db,preamble_frac,trials
vht,8,160,data,12.1358594541854,0.331852386749321,13.2692825252938,0,300
vht,9,160,data,12.1172618726472,0.302469153064356,13.1487251550888,0,300
ht,0,20,full,11.7116548729079,0.551707957683194,13.6427672864699,0,300
ht,1,20,full,11.1742512350063,0.347194185233484,12.3677885787528,0,300
ht,2,20,full,11.194352814728,0.356973358443289,12.3518127027693,0,300
ht,3,20,full,11.2931050059949,0.39358125420054,12.9132669036079,0,300
ht,4,20,full,11.2766656548327,0.369044923607793,12.4628241014369,0,300
ht,5,20,full,11.2325275882141,0.365501530715308,12.6704731263373,0,300
ht,6,20,full,11.3003145080395,0.35687183324526,12.5535646238579,0,300
ht,7,20,full,11.3098250898686,0.378908411397525,12.4987989319424,0,300
ht,0,40,full,11.7611733287479,0.471302868070288,13.7068958276271,0,300
ht,1,40,full,11.5905092029985,0.347538649530873,12.6287069163201,0,300
ht,2,40,full,11.5385216633191,0.370172113453561,13.030046048393,0,300
ht,3,40,full,11.6222999673034,0.358111028422239,12.9060088304504,0,300
ht,4,40,full,11.6264174356738,0.386004158284688,12.7549416301726,0,300
ht,5,40,full,11.7503204367806,0.275695864220192,13.1114147863274,0.496666666666667,300
ht,6,40,full,11.585685148427,0.369476074009739,12.9119867830353,0.00333333333333333,300
ht,7,40,full,11.5963537966287,0.347767250347352,12.870980268395,0.0433333333333333,300
vht,0,20,full,11.7543949120301,0.59102153482837,14.1082389416206,0,300
vht,1,20,full,11.1856499956374,0.349951320900354,12.4710410706821,0,300
vht,2,20,full,11.1919406357785,0.337747832880859,12.4105689218605,0,300
vht,3,20,full,11.2967253953642,0.370020580101718,12.8159756999426,0,300
vht,4,20,full,11.3275374369362,0.390474013641407,12.631090073419,0,300
vht,5,20,full,11.2932725844184,0.340560086025698,12.2546094902559,0,300
vht,6,20,full,11.2925787642112,0.356085215209682,12.5251536028726,0,300
vht,7,20,full,11.2900646853468,0.348354240182711,12.7619350217462,0,300
vht,8,20,full,11.289264098283,0.355129932760829,12.3882710373093,0,300
vht,0,40,full,11.7401259699324,0.447772921123444,13.9349761402959,0,300
vht,1,40,full,11.5441110530068,0.358588849885372,13.093816765434,0,300
vht,2,40,full,11.5757821218782,0.325851972973964,12.6234202019057,0,300
vht,3,40,full,11.6042211698901,0.356103558963,13.1020610046665,0,300
vht,4,40,full,11.6087377718063,0.370689037850432,13.0481880862686,0,300
vht,5,40,full,11.6255411885284,0.356922649305472,12.7710699185984,0,300
vht,6,40,full,11.6435744662136,0.338869855151576,12.967989277373,0.11,300
vht,7,40,full,11.6385456724738,0.362099628198168,13.0740923992302,0,300
vht,8,40,full,11.6664182758484,0.235641131349459,12.5543280721516,0.486666666666667,300
vht,9,40,full,11.6091739718109,0.362162905231577,12.6254016474681,0,300
vht,0,80,full,12.0829216128686,0.557820102113315,14.4359539289477,0,300
vht,1,80,full,12.0705021186547,0.178066478619444,12.9977367072251,0.63,300
vht,2,80,full,11.8627381118416,0.35668258752184,13.1609993222396,0,300
vht,3,80,full,11.8989283794639,0.350380288539275,13.3059807499381,0,300
vht,4,80,full,11.8805805330883,0.383274887257957,13.2751640032825,0,300
vht,5,80,full,11.863680363532,0.344665865217094,13.0413736817106,0,300
vht,6,80,full,11.8555039708048,0.342959000891759,13.1340457981026,0,300
vht,7,80,full,11.8506715306777,0.326648082107432,12.9693097195094,0,300
vht,8,80,full,11.9033307472213,0.379020592990418,13.8048769834997,0,300
vht,9,80,full,11.8785036232675,0.33712847832809,12.8365775699476,0,300
vht,0,160,full,12.4835008168815,0.449875212300375,15.0073587100256,0.38,300
vht,1,160,full,12.1449951626148,0.317155742125192,13.4147452378236,0.0833333333333333,300
vht,2,160,full,12.7658651301498,0.0747850724363339,13.7220823341937,0.963333333333333,300
vht,3,160,full,12.3592909580252,0.20857437233805,13.4824959664391,0.693333333333333,300
vht,4,160,full,12.1582457185762,0.347637494381334,13.3594478015989,0,300
vht,5,160,full,12.1377407721687,0.293199757538977,13.5571866801726,0.306666666666667,300
vht,6,160,full,12.1212802684009,0.340971548517042,13.5020912855123,0,300
vht,7,160,full,12.1212868256686,0.349372927864859,13.773239232937,0,300
vht,8,160,full,12.1280423067474,0.330103692558955,13.6822760182333,0,300
vht,9,160,full,12.0876647044037,0.326805831862213,13.3952940335092,0,300
